handbag_id,brand,style,material,color,price,stock_quantity
1,Brand 1,Shoulder Bag,Nylon,Color 1,144.78,99
2,Brand 2,Hobo,Suede,Color 2,91.02,111
3,Brand 3,Hobo,Denim,Color 3,164.87,18
4,Brand 4,Clutch,Faux Leather,Color 4,286.87,91
5,Brand 5,Shoulder Bag,Velvet,Color 5,206.17,49
6,Brand 6,Shoulder Bag,Canvas,Color 6,250.63,25
7,Brand 7,Crossbody Bag,Canvas,Color 7,294.45,101
8,Brand 8,Backpack,Velvet,Color 8,39.34,158
9,Brand 9,Clutch,Velvet,Color 9,76.96,95
10,Brand 10,Shoulder Bag,Polyester,Color 10,255.64,72
11,Brand 11,Hobo,Polyester,Color 11,95.31,138
12,Brand 12,Tote,Nylon,Color 12,103.92,140
13,Brand 13,Bucket Bag,Leather,Color 13,280.91,52
14,Brand 14,Clutch,Faux Leather,Color 14,181.3,10
15,Brand 15,Hobo,Suede,Color 15,221.9,198
16,Brand 16,Bucket Bag,Velvet,Color 16,229.71,159
17,Brand 17,Tote,Canvas,Color 17,123.1,198
18,Brand 18,Crossbody Bag,Leather,Color 18,138.57,177
19,Brand 19,Tote,Suede,Color 19,240.19,64
20,Brand 20,Clutch,Velvet,Color 20,180.41,75
21,Brand 21,Shoulder Bag,Nylon,Color 21,21.9,27
22,Brand 22,Shoulder Bag,Denim,Color 22,109.04,162
23,Brand 23,Clutch,Velvet,Color 23,81.79,130
24,Brand 24,Hobo,Faux Leather,Color 24,191.23,76
25,Brand 25,Clutch,Suede,Color 25,148.47,59
26,Brand 26,Shoulder Bag,Leather,Color 26,195.27,60
27,Brand 27,Shoulder Bag,Leather,Color 27,76.96,132
28,Brand 28,Satchel,Canvas,Color 28,123.16,187
29,Brand 29,Hobo,Velvet,Color 29,27.37,74
30,Brand 30,Crossbody Bag,Suede,Color 30,220.67,155
31,Brand 31,Crossbody Bag,Canvas,Color 31,151.26,112
32,Brand 32,Bucket Bag,Velvet,Color 32,177.08,159
33,Brand 33,Bucket Bag,Canvas,Color 33,171.74,52
34,Brand 34,Hobo,Nylon,Color 34,298.72,17
35,Brand 35,Shoulder Bag,Suede,Color 35,168.05,91
36,Brand 36,Crossbody Bag,Canvas,Color 36,214.52,19
37,Brand 37,Clutch,Nylon,Color 37,59.33,129
38,Brand 38,Shoulder Bag,Canvas,Color 38,27.81,53
39,Brand 39,Tote,Velvet,Color 39,43.03,179
40,Brand 40,Crossbody Bag,Velvet,Color 40,115.01,13
41,Brand 41,Tote,Faux Leather,Color 41,58.7,140
42,Brand 42,Backpack,Polyester,Color 42,208.33,134
43,Brand 43,Crossbody Bag,Velvet,Color 43,275.88,35
44,Brand 44,Satchel,Canvas,Color 44,77.25,80
45,Brand 45,Clutch,Denim,Color 45,54.23,138
46,Brand 46,Tote,Denim,Color 46,62.52,43
47,Brand 47,Shoulder Bag,Suede,Color 47,174.04,80
48,Brand 48,Crossbody Bag,Suede,Color 48,290.32,191
49,Brand 49,Shoulder Bag,Denim,Color 49,286.7,199
50,Brand 50,Crossbody Bag,Denim,Color 50,130.45,143
51,Brand 51,Crossbody Bag,Faux Leather,Color 51,77.03,193
52,Brand 52,Clutch,Leather,Color 52,210.09,107
53,Brand 53,Crossbody Bag,Faux Leather,Color 53,232.01,159
54,Brand 54,Clutch,Polyester,Color 54,290.38,38
55,Brand 55,Clutch,Leather,Color 55,212.92,84
56,Brand 56,Crossbody Bag,Leather,Color 56,290.04,132
57,Brand 57,Satchel,Canvas,Color 57,223.56,105
58,Brand 58,Shoulder Bag,Suede,Color 58,109.21,39
59,Brand 59,Crossbody Bag,Nylon,Color 59,128.43,81
60,Brand 60,Clutch,Canvas,Color 60,123.35,37
61,Brand 61,Shoulder Bag,Leather,Color 61,257.89,132
62,Brand 62,Shoulder Bag,Leather,Color 62,136.71,89
63,Brand 63,Tote,Faux Leather,Color 63,237.0,18
64,Brand 64,Clutch,Faux Leather,Color 64,169.29,125
65,Brand 65,Satchel,Polyester,Color 65,120.31,69
66,Brand 66,Bucket Bag,Denim,Color 66,173.01,58
67,Brand 67,Satchel,Suede,Color 67,133.4,30
68,Brand 68,Hobo,Leather,Color 68,67.09,25
69,Brand 69,Clutch,Faux Leather,Color 69,282.66,96
70,Brand 70,Clutch,Nylon,Color 70,81.3,15
71,Brand 71,Satchel,Denim,Color 71,210.86,191
72,Brand 72,Hobo,Nylon,Color 72,263.98,81
73,Brand 73,Crossbody Bag,Polyester,Color 73,267.66,27
74,Brand 74,Backpack,Leather,Color 74,238.54,53
75,Brand 75,Satchel,Nylon,Color 75,183.49,89
